,game,year,genre,publisher,north america,europe,japan,rest of world,global
0,Grand Theft Auto V,2014.0,Action,Rockstar Games,6.06,9.71,0.6,3.02,19.39
1,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,6.18,6.05,0.41,2.44,15.09
2,Red Dead Redemption 2,2018.0,Action-Adventure,Rockstar Games,5.26,6.21,0.21,2.26,13.94
3,Call of Duty: WWII,2017.0,Shooter,Activision,4.67,6.21,0.4,2.12,13.4
4,FIFA 18,2017.0,Sports,EA Sports,1.27,8.64,0.15,1.73,11.8
5,FIFA 17,2016.0,Sports,Electronic Arts,1.26,7.95,0.12,1.61,10.94
6,Uncharted (PS4),2016.0,Action,Sony Interactive Entertainment,4.49,3.93,0.21,1.7,10.33
7,Spider-Man (PS4),2018.0,Action-Adventure,Sony Interactive Entertainment,3.64,3.39,0.32,1.41,8.76
8,Call of Duty: Infinite Warfare,2016.0,Shooter,Activision,3.11,3.83,0.19,1.36,8.48
9,Fallout 4,2015.0,Role-Playing,Bethesda Softworks,2.91,3.97,0.27,1.34,8.48
10,FIFA 16,2015.0,Sports,EA Sports,1.15,5.77,0.07,1.23,8.22
11,Star Wars Battlefront 2015,2015.0,Shooter,Electronic Arts,3.31,3.19,0.23,1.3,8.03
12,Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,2.84,3.34,0.14,1.22,7.53
13,Battlefield 1,2016.0,Shooter,Electronic Arts,2.2,3.65,0.29,1.12,7.26
14,The Last of Us,2014.0,Action-Adventure,Sony Computer Entertainment,2.7,2.86,0.11,1.1,6.77
15,MineCraft,2014.0,Misc,Sony Computer Entertainment,1.89,3.13,0.35,0.96,6.33
16,FIFA 15,2014.0,Sports,EA Sports,0.83,4.49,0.05,0.94,6.32
17,God of War (PS4),2018.0,Action,Sony Interactive Entertainment,2.83,2.17,0.13,1.02,6.15
18,Horizon: Zero Dawn,2017.0,Action,Sony Interactive Entertainment,2.2,2.43,0.28,0.92,5.82
19,Destiny,2014.0,Shooter,Activision,2.53,2.13,0.16,0.94,5.76
20,Uncharted: The Nathan Drake Collection,2015.0,Action,Sony Computer Entertainment,2.55,2.11,0.1,0.94,5.7
21,The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,1.48,2.82,0.28,0.81,5.39
22,Final Fantasy XV,2016.0,Role-Playing,Square Enix,1.81,1.53,1.05,0.68,5.07
23,Crash Bandicoot N. Sane Trilogy,2017.0,Platform,Activision,1.09,2.92,0.07,0.74,4.83
24,Monster Hunter: World,2018.0,Action,Capcom,1.03,1.06,2.17,0.42,4.67
25,Overwatch,2016.0,Shooter,Blizzard Entertainment,1.84,1.8,0.17,0.73,4.54
26,Star Wars Battlefront II (2017),2017.0,Shooter,Electronic Arts,1.7,1.99,0.12,0.73,4.53
27,Tom Clancy's The Division,2016.0,Shooter,Ubisoft,1.49,2.04,0.16,0.69,4.37
28,Tom Clancy's Rainbow Six: Siege,2015.0,Shooter,Ubisoft,1.29,2.06,0.36,0.64,4.36
29,Watch Dogs,2014.0,Action-Adventure,Ubisoft,1.4,2.13,0.11,0.68,4.32
30,Call of Duty: Ghosts,2013.0,Shooter,Activision,1.79,1.64,0.05,0.69,4.17
31,Assassin's Creed: Unity,2014.0,Action,Ubisoft,1.25,2.16,0.09,0.65,4.14
32,Destiny 2,2017.0,Shooter,Activision,1.92,1.44,0.1,0.69,4.14
33,Batman: Arkham Knight,2015.0,Action,Warner Bros. Interactive,1.65,1.68,0.11,0.66,4.11
34,Assassin's Creed Origins,2017.0,Action,Ubisoft,1.22,2.11,0.11,0.63,4.06
35,Far Cry 4,2014.0,Shooter,Ubisoft,1.18,2.14,0.11,0.63,4.06
36,NBA 2K16,2015.0,Sports,2K Sports,2.56,0.66,0.05,0.71,3.98
37,Far Cry 5,2018.0,Action,Ubisoft,1.44,1.73,0.15,0.62,3.95
38,Battlefield 4,2013.0,Shooter,Electronic Arts,1.4,1.74,0.19,0.62,3.94
39,Gran Turismo Sport,2017.0,Racing,Sony Interactive Entertainment,0.63,2.35,0.24,0.54,3.77
40,Assassin's Creed Syndicate,2015.0,Action,Ubisoft,0.9,2.06,0.08,0.55,3.6
41,NBA 2K17,2016.0,Sports,2K Sports,2.28,0.59,0.03,0.63,3.52
42,Mortal Kombat X,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.94,0.94,0.0,0.61,3.49
43,FIFA Soccer 14,2013.0,Sports,EA Sports,0.62,2.18,0.12,0.51,3.43
