,game,year_x,genre_x,publisher_x,north america_x,europe_x,japan_x,rest of world_x,global_x,name,platform,year_of_release,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating,year_y,genre_y,publisher_y,north america_y,europe_y,japan_y,rest of world_y,global_y
0,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,6.18,6.05,0.41,2.44,15.09,Call of Duty: Modern Warfare 3,X360,2011.0,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,2015.0,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
1,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,6.18,6.05,0.41,2.44,15.09,Call of Duty: Black Ops,X360,2010.0,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,2015.0,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
2,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,6.18,6.05,0.41,2.44,15.09,Call of Duty: Black Ops II,PS3,2012.0,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,M,2015.0,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
3,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,6.18,6.05,0.41,2.44,15.09,Call of Duty: Black Ops II,X360,2012.0,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,M,2015.0,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
4,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,6.18,6.05,0.41,2.44,15.09,Call of Duty: Modern Warfare 2,X360,2009.0,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,Infinity Ward,M,2015.0,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
5,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,6.18,6.05,0.41,2.44,15.09,Call of Duty: Modern Warfare 3,PS3,2011.0,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,2015.0,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
6,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,6.18,6.05,0.41,2.44,15.09,Call of Duty: Black Ops,PS3,2010.0,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch,M,2015.0,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
7,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,6.18,6.05,0.41,2.44,15.09,Call of Duty: Modern Warfare 2,PS3,2009.0,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,M,2015.0,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
8,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,6.18,6.05,0.41,2.44,15.09,Call of Duty: Ghosts,X360,2013.0,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,M,2015.0,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
9,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,6.18,6.05,0.41,2.44,15.09,Call of Duty: Ghosts,PS3,2013.0,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,2015.0,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
